MILESTONE EMAIL MATRIX — OUTSOURCED,,,,,,,,,,,,,,,,,,,,,
Service type: outsourced (Sales Progressor internal team manages the file),,,,,,,,,,,,,,,,,,,,,
Email body column = opening sentence + what happened + what next — combined from portal-copy.ts,,,,,,,,,,,,,,,,,,,,,
{address} in subjects is replaced with the property address at send time,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SECTION 1 — SELLER confirms via the client portal (seller-facing steps only),,,,,,,,,,,,,,,,,,,,,
"These are milestones the seller actions themselves (e.g. ID checks complete, forms returned). They tap ""confirm"" in their portal.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Code,Milestone name,Who performs this step,Seller gets email?,Seller: email subject,Seller: email body,Buyer gets email?,Buyer: email subject,Buyer: email body,Agent gets email?,Agent: email subject,Agent: email body,Progressor gets email?,Progressor: email subject,Progressor: email body,Notes / Known issues,,,,,,
VM1,Instruct your solicitor,you,Y,You've instructed your solicitor — {address},"You've taken the first step. You've formally instructed your solicitor to act on the sale. They'll now start the conveyancing process on your behalf — preparing the contract pack, gathering title documents, and getting everything ready to send to the buyer's solicitor. If the property is leasehold, your solicitor will also request the management pack from your freeholder or managing agent. Once the contract pack is issued, the buyer's solicitor will review it and may come back with enquiries — at which point your solicitor may need information from you to reply. Nothing for you to do right now. We'll be in touch when there's a meaningful update.",Y,The seller has instructed their solicitor — {address},"Good news on your purchase. The seller has formally instructed their solicitor to act on the sale. This is an important early step — things are now moving on the seller's side of the transaction. Nothing for you to do right now. The seller's solicitor will prepare the contract pack and send it to your solicitor in the coming weeks. We'll let you know when that happens.",Y,Seller's solicitor instructed — {address},"Quick update on {address}. The seller has instructed their solicitor — confirmed via the seller's portal. Conveyancing is now underway on the seller's side. The next chase is on the contract pack from the seller's solicitor.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
VM2,Receive memorandum of sale,solicitor,Y,Memorandum of sale issued — {address},"The legal process has officially started. The memorandum of sale has been sent to all solicitors, confirming the agreed price and the details of both parties. This is the document that formally kicks off conveyancing. Your solicitor will now begin preparing the contract pack. Returning your solicitor's welcome pack quickly is the single biggest thing you can do this week to keep the transaction moving.",Y,Memorandum of sale issued — {address},"The legal process has officially started. The memorandum of sale has been sent to all solicitors, confirming the agreed purchase price and the details of both parties. Your solicitor now has formal confirmation to proceed. If you haven't already, return your solicitor's welcome pack and complete your ID checks — your solicitor can't get fully started until these are done. If you're buying with a mortgage, also make sure your application is progressing.",Y,MoS confirmed — {address},Quick update on {address}. Memorandum of sale confirmed issued to all solicitors.,Y,VM2 complete: MoS received — {address},Logged on {address}. Memorandum of sale confirmed received by vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM3,Receive welcome pack from solicitor,you,Y,Welcome pack received from your solicitor — {address},"Your solicitor has made contact. Your solicitor has sent you their welcome pack. It contains their terms of business, a property questionnaire, and details of what ID they need from you. Returning this quickly is one of the best things you can do to keep the transaction moving. Complete the forms and return them as soon as you can — ideally within a few days. Your solicitor cannot begin substantive work until these are back with them.",Y,Seller is engaging with their solicitor — {address},"Quick update on your purchase. The seller has received their welcome pack from their solicitor — the kick-off paperwork for conveyancing on their side. Nothing for you to do right now. The seller will return the forms in due course.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has received welcome pack — {address},Quick update on {address}. The seller has received their welcome pack from their solicitor — confirmed via the seller's portal. Track for return of property forms next.,,,,,,,
VM4,Complete ID & AML checks,you,Y,ID checks complete — {address},"You've cleared an important legal requirement. Your identity has been verified and your solicitor has completed the anti-money laundering checks required by law. This clears the way for them to begin substantive work on your behalf. Your solicitor will now continue preparing the contract pack. Worth flagging: if you haven't yet returned your property information forms when you receive them, do so promptly — delays here are one of the main things that slow transactions down.",Y,Seller's ID checks complete — {address},"Good news on your purchase. The seller has completed their ID and anti-money laundering checks. Their solicitor can now begin substantive work on the sale. Nothing for you to do right now — this is one of the early signals that things are moving properly on the seller's side.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller's ID & AML complete — {address},Quick update on {address}. The seller has completed their ID and AML checks — confirmed via the seller's portal. Conveyancing can now properly begin on the seller's side.,,,,,,,
VM5,Receive property information forms,you,Y,Property information forms received — {address},"Your solicitor needs information from you. Your solicitor has sent you the property information forms (TA6 and TA10). These ask about the property's history, what's included in the sale, any disputes or planning permissions, and more. The buyer's solicitor will rely on your answers. Complete the forms as thoroughly and accurately as you can — these are legal documents. Return them to your solicitor promptly. If you're unsure about any question, call your solicitor before leaving it blank.",Y,Seller is gathering property information — {address},"Quick update on your purchase. The seller has been sent their property information forms (TA6 and TA10) by their solicitor. These capture details about the property's history, what's included in the sale, and any planning or dispute history. Nothing for you to do right now. The seller will complete and return these to their solicitor in the coming days.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has received property forms — {address},Quick update on {address}. The seller has received their property information forms from their solicitor — confirmed via the seller's portal. Chase return of forms next.,,,,,,,
VM6,Return completed property forms,you,Y,Property forms returned to your solicitor — {address},"Your forms are back with your solicitor. Your completed property information forms have been received by your solicitor. They'll now incorporate these into the contract pack and send everything to the buyer's solicitor. Your solicitor will issue the draft contract pack to the buyer's solicitor. We'll let you know when that's done.",Y,The seller has returned their property information forms — {address},"Progress on your purchase. The seller has returned their completed property information forms to their solicitor. These will be included in the contract pack that comes to your solicitor. Nothing to do from your side right now. The seller's solicitor will now finalise the contract pack and send it across.",Y,Seller has returned property forms — {address},"Quick update on {address}. The seller has returned their property information forms — confirmed via the seller's portal. The seller's solicitor will now incorporate these into the contract pack and send everything across. The next chase is on the draft contract pack being issued.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
VM7,Draft contract pack issued,solicitor,Y,Draft contract pack sent to the buyer's solicitor — {address},"A significant step forward. Your solicitor has sent the draft contract pack to the buyer's solicitor. This is the bundle of documents that forms the legal foundation of the sale — the contract itself, your property information forms, title documents, and any relevant certificates. The buyer's solicitor will now review everything carefully and is likely to raise enquiries — questions about the property and the documents. Your solicitor will handle these, though they may need your input on some points.",Y,The contract pack has arrived with your solicitor — {address},"Things are moving on your purchase. The seller's solicitor has sent the contract pack to your solicitor. This is the full bundle of legal documents — the draft contract, title documents, property information forms, and more. Your solicitor will now review everything in detail. Your solicitor will go through the contract pack and raise any questions that need answering. In the meantime, make sure your mortgage application is progressing and any searches have been ordered.",Y,Contract pack issued — {address},Quick update on {address}. Seller's solicitor has issued the draft contract pack to the buyer's solicitor.,Y,VM7 complete: Contract pack issued — {address},Logged on {address}. Vendor solicitor has issued draft contract pack to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM8,Management pack requested,solicitor,Y,Management pack requested from your freeholder — {address},"Leasehold paperwork is underway. Your solicitor has requested the management pack from your freeholder or managing agent. This pack contains the leasehold information the buyer's solicitor will need — service charge accounts, ground rent history, building insurance, and details of any planned major works. Management packs can take a while — typically several weeks, sometimes longer. Worth noting: freeholders usually charge a fee for providing the pack, which will be deducted from your sale proceeds at completion. We'll let you know as soon as it arrives.",Y,Leasehold information requested — {address},"Quick update on your purchase. The seller's solicitor has requested the management pack from the freeholder or managing agent. This contains the leasehold information your solicitor will need — service charges, ground rent, building insurance, and any planned major works. Management packs sometimes take a few weeks to come back, but this is now in motion. Nothing for you to do right now.",N,,,Y,VM8 complete: Management pack requested — {address},Logged on {address}. Vendor solicitor has requested management pack from freeholder/managing agent.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM9,Management pack received,solicitor,Y,Management pack received — {address},"The leasehold paperwork has arrived. The management pack has been received from your freeholder or managing agent. Your solicitor will now review the leasehold information — service charges, ground rent, building insurance, and any planned works — before sending it to the buyer's solicitor. This is often one of the longer waits in a leasehold transaction, so receiving it is real progress. Your solicitor will incorporate the pack into the contract pack and send it across to the buyer's side.",Y,Management pack received on your purchase — {address},"Good news on the leasehold side. The management pack from the freeholder has arrived and is being reviewed. This contains the leasehold information your solicitor needs — service charges, ground rent, building insurance, and details of any planned major works to the building. Your solicitor will review the management pack carefully and raise any points with the seller's solicitor as part of the enquiries process.",Y,Management pack received — {address},Quick update on {address}. Management pack received from freeholder. Solicitor is reviewing.,Y,VM9 complete: Management pack received — {address},Logged on {address}. Management pack confirmed received by vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM10,Initial enquiries received,solicitor,Y,Buyer's enquiries received — {address},"The buyer's solicitor has questions. The buyer's solicitor has raised their first round of enquiries — questions about the property and the documents in the contract pack. This is a completely normal part of the process. Your solicitor will work through them and may need your input on some points. If your solicitor contacts you asking for information to help answer the enquiries, please respond as quickly as you can. Delays in enquiries are one of the most common reasons transactions slow down.",Y,Your solicitor's questions are with the seller's side — {address},"Quick update on your purchase. Your solicitor's initial enquiries have been received by the seller's solicitor. They'll now work through the questions with the seller. Nothing for you to do right now — your solicitor will let you know when the replies come back.",N,,,Y,VM10 complete: Initial enquiries received — {address},Logged on {address}. Buyer's solicitor has raised initial enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
